,word,freq
3480,desire,24
319,society,24
263,hate,24
1910,demanded,24
842,picture,24
787,standing,24
2599,year,24
990,account,24
8331,absolutely,24
1494,bitter,24
1033,servants,24
4517,expression,24
5869,circumstances,24
13363,moor,24
2138,moved,24
1310,hold,24
1144,pain,24
1159,c,24
1207,dear,24
2270,bonnet,24
69,tale,24
1243,resolved,24
775,dim,24
2303,grey,24
3974,met,24
3267,“to,23
873,attention,23
3894,touch,23
2261,finished,23
5504,"you,”",23
3798,broad,23
2974,gates,23
2605,town,23
1175,shoulder,23
2214,sad,23
2732,uncle,23
4445,english,23
2635,fancy,23
3059,parlour,23
1876,prepared,23
1129,act,23
3647,talking,23
5368,horse,23
2711,notice,23
4465,draw,23
4477,burns,23
7371,sir?”,23
3680,lit,23
2093,caught,23
2528,gathered,23
2247,charm,23
174,earth,23
2385,pride,23
9196,party,23
6837,sophie,23
1481,lonely,23
2546,listened,23
1455,known,23
1842,comfort,23
6412,sister,23
2842,seem,23
4048,wait,23
5961,fresh,23
2784,afterwards,23
3328,position,23
3325,pupil,23
3881,removed,22
902,paused,22
6033,leaving,22
2096,able,22
3999,taste,22
3655,kiss,22
1662,reason,22
1497,marble,22
2365,fixed,22
8237,thousand,22
3407,passion,22
2014,burnt,22
859,nursery,22
14921,morton,22
883,discovered,22
1000,opinion,22
3290,daughter,22
1928,wide,22
3914,amidst,22
2453,“are,22
1439,spread,22
2104,dog,22
3183,six,22
2674,expressed,22
657,turning,22
1110,eat,22
1277,instantly,22
5745,free,22
1203,abbot,22
4121,shone,22
6481,waiting,22
1750,stone,22
1864,gazed,22
5718,advanced,22
2475,looks,22
4162,cloak,22
820,believed,22
3066,“who,22
3823,miller,22
4200,spoken,22
4586,use,22
2378,eight,21
2564,mistress,21
2412,died,21
2269,making,21
2041,“we,21
831,object,21
838,distant,21
3147,it?”,21
1507,repeated,21
1383,fetch,21
14458,oliver,21
3611,pleased,21
3502,solitude,21
1084,getting,21
1745,staircase,21
1454,solemn,21
3678,coach,21
1676,running,21
2301,path,21
1663,forced,21
1037,blind,21
2198,library,21
668,cloud,21
8075,gaze,21
685,birds,21
2619,pretty,21
5918,“very,21
3082,shape,21
2426,fully,21
936,immediately,21
501,winter,20
499,early,20
138,class,20
74,field,20
1268,apartment,20
2857,gentle,20
1274,spring,20
9198,lynn,20
3144,burning,20
633,red,20
2438,pause,20
6284,“there,20
2673,roof,20
2663,marked,20
3119,contrary,20
4978,surprised,20
7403,stern,20
2333,friend,20
3219,teachers,20
3092,“this,20
3236,uttered,20
1519,cross,20
2740,breath,20
1636,silk,20
5466,now.”,20
5934,likely,20
1558,warm,20
1289,necessary,20
2371,ill,20
4958,ma’am,20
1282,“miss,20
2243,women,20
2467,knows,20
1874,carried,20
1752,sank,20
3891,common,20
1921,bring,20
3681,excited,20
689,generally,20
7722,confidence,20
2502,doors,20
1393,chance,20
4135,lower,20
2399,obliged,20
6021,happiness,20
3853,twenty,20
768,formed,20
4293,pounds,20
1651,fall,19
1886,hot,19
374,regard,19
1126,aware,19
975,heavy,19
4681,forgotten,19
971,thick,19
2145,addressed,19
1147,succeeded,19
5353,appear,19
3869,whispered,19
2591,clergyman,19
9344,force,19
1655,farther,19
4930,remembered,19
3132,mouth,19
159,wrong,19
3777,hills,19
2128,worse,19
1091,follow,19
2677,evidently,19
1765,fit,19
2092,asleep,19
3860,brown,19
2076,sick,19
1720,judgment,19
7897,veil,19
3231,obeyed,19
1774,recall,19
861,allowed,19
1633,wishes,19
8899,poole,19
2433,result,19
3432,except,19
4359,whence,19
2009,easy,19
4120,gold,19
526,fingers,19
2004,raised,19
1751,courage,19
1420,covered,19
2963,space,19
782,themselves,19
2746,spirits,19
4798,points,19
1227,disposed,19
4329,scatcherd,19
3546,experience,19
2856,jane.”,18
1020,continually,18
2854,kissed,18
725,among,18
1285,break,18
7737,pilot,18
2277,“in,18
2654,waited,18
5534,movement,18
1469,secret,18
517,especially,18
601,truly,18
3817,minute,18
1603,curls,18
1722,brilliant,18
4862,longed,18
3829,touched,18
9199,colonel,18
4603,fate,18
1875,across,18
1863,stirred,18
2217,country,18
1513,move,18
1183,neck,18
2720,hearing,18
7168,cool,18
7253,hay,18
2967,visible,18
3038,top,18
2966,influence,18
2964,grounds,18
2141,putting,18
12251,janet,18
1134,cry,18
2495,learn,18
1556,complete,18
6958,dining-room,18
698,solitary,18
3096,examined,18
2806,instead,18
2147,kindness,18
213,appearance,18
4033,clock,18
6007,yours,18
2541,play,18
